patient,scenario,best_change_pct,final_change_pct,change_wk9_pct,erk_rebound_72h,time_nadir_d,ttp_d,G_fb,k_GEF_basal,k_bind,rho_grow,rho_kill,tau_R,k_Z_up,alpha_Z,beta_Z,Z_0,f_block
78,nsclc_mono,-15.203005356828891,-8.117720243120152,-14.484931844136305,64.63945247692982,39.0,,1.993170531364472,0.0215110602839804,0.09566014867557408,0.0003327971663029589,0.0024870510271884512,34.92705504294113,0.002863590856637191,7.6996788000666525,0.4597348338539963,0.0006830362574827095,0.0
79,nsclc_mono,-9.19030691382996,399.86779457081616,301.7716446780911,79.77852185276546,4.0,25.333333333333332,1.0831802796202459,0.018601012104380577,0.2274298123430478,0.00046285228943271703,0.0034682682964466797,42.056436935614094,0.00483502952852075,3.131543725956225,2.301076519489269,0.025685010257025107,0.0
80,nsclc_mono,-34.6563377604941,-34.6563377604941,-23.512649004013497,57.782652244314704,180.0,,0.3701477243430315,0.019277578183672876,0.08506265551968975,0.0004465076185735988,0.0028251558639927244,28.5676366567534,0.010012287280604633,1.5733078248991068,0.6926776813128226,0.09230464081708549,0.0
81,nsclc_mono,-91.09447261739813,-91.09447261739813,-61.744164100311785,45.86842957447226,180.0,,0.889649609197457,0.03853744208788709,0.11564016613337548,0.0006366895466932067,0.003864536452795025,35.57515172413878,0.006147520472005353,2.507377052750839,0.2672966915027745,0.18227439160971914,0.0
82,nsclc_mono,-1.1102230246251565e-14,399.76862599752786,278.82992008029623,96.55711973199122,0.0,21.333333333333332,0.7878592335906811,0.020192370508872966,0.09994909580673797,0.0008853080051965325,0.004115944027605936,34.32776029938979,0.0018408649819603726,4.23076574082222,1.6575732210711684,0.4180165578297426,0.0
83,nsclc_mono,-81.61091723329619,-81.61091723329619,-50.22610163681751,32.43116828522995,180.0,,0.7094009587903132,0.017864385651686753,0.1602422174684213,0.00035364705950303993,0.004749914616290823,43.291176787920044,0.004992132887172955,6.996715463935033,0.22909992723757977,0.11073712914245573,0.0
84,nsclc_mono,-6.843983919946295,45.43332056835996,3.091663629392727,53.88205645411398,18.0,89.0,1.0378446827090002,0.01671470296908105,0.07926790894728925,0.0009924107334717083,0.0031007906439747116,28.15224213834265,0.002447246713050941,8.574633415571965,0.33403195283726195,0.19905903511025408,0.0
85,nsclc_mono,-42.73661514031472,47.495966498761774,-29.690860452580303,44.18995161741866,26.0,60.333333333333336,0.7075226534438799,0.0195097905874806,0.2820459386607013,0.0004381023062376569,0.0037407338221820395,38.20608993132496,0.004694400506449309,0.8733520636069347,0.9530059593225036,0.058333057981368154,0.0
86,nsclc_mono,-1.9631132842976018,166.1129513665862,43.45377278805971,78.4037610082536,4.0,33.666666666666664,0.947061860195513,0.030824019316224548,0.10311149671083648,0.00039423024346893113,0.0021105567156389456,35.13323263781952,0.012766411808674511,3.705385452890958,0.8419504137293712,0.21857516504826838,0.0
87,nsclc_mono,-71.97240315988121,-71.97240315988121,-56.414133634843154,48.07343146189405,180.0,,0.7679856588075957,0.015305839463447646,0.06631343379452659,0.0005829884092149285,0.00353488566648882,31.355846123716685,0.0010358265685436084,5.3633396497944155,0.42860011282971844,0.09584731225099082,0.0
88,nsclc_mono,-14.683049780510416,133.1480915813867,20.260248980865093,66.74126973490316,10.0,39.666666666666664,1.2026232098947205,0.021659037168294894,0.1669720086987736,0.00030548430944945084,0.0035965228059271458,40.685326636016065,0.0072306395596298395,2.3074644251608483,1.000023442542509,0.10218606294428997,0.0
89,nsclc_mono,-99.40118270262265,-99.40118270262265,-89.6583939155485,31.48127963307915,180.0,,0.869433916588348,0.024205023777508255,0.1769486781655473,0.0005713558218110661,0.003936171308879529,50.27454950712347,0.0015990596900658889,1.1814420670346077,0.43648822576245494,0.04480369464858934,0.0
90,nsclc_mono,-12.250444149587148,335.27121991052707,68.85242162800971,67.27070181286886,9.0,30.333333333333332,0.7253586512084083,0.045917724485204314,0.15380109741965126,0.0003157597224924287,0.007116691584485775,46.42956969326883,0.0023183216989236064,11.439456114468685,1.736760885839282,0.1682313050943924,0.0
91,nsclc_mono,-22.905335175159426,381.31549017147296,110.0617572597089,60.15237073160959,10.0,31.333333333333332,1.0551139787883115,0.018963939450091595,0.1277821000595795,0.0007139305980357845,0.004403405664631755,21.881180378462858,0.004176038280384198,2.704007115814583,1.2608714685748328,0.00041560967742436514,0.0
92,nsclc_mono,-37.51078473570065,-37.51078473570065,-23.73644260501787,52.562861862315366,180.0,,1.1407105849388457,0.014695176840956664,0.15958983689756426,0.0003676170912391156,0.0018487322371430815,29.15328058425435,0.0017685189495519726,3.969646860083437,0.5450558792513113,0.3471356861108754,0.0
93,nsclc_mono,-76.13343005500538,-76.13343005500538,-54.87412923885675,33.59822497230766,180.0,,0.6156964311327722,0.02038941404399861,0.12618798176358506,0.0005406548185525157,0.0027117156957700258,32.1114411016373,0.00209861740852159,3.246544207848748,0.44586310964324505,0.00323989024923293,0.0
94,nsclc_mono,-85.49535001872144,-85.49535001872144,-62.01142888720381,42.163274340524424,180.0,,1.191234018865024,0.02432836884442639,0.15691550032911844,0.0004244734907335404,0.008180851650151219,38.838519691489374,0.003527599176784882,9.639385107123656,0.36538034351558735,0.0021612870929961043,0.0
95,nsclc_mono,-20.35892457296711,130.05399159279224,-1.1336006430850865,64.94852808591759,24.0,59.333333333333336,0.7521572549200247,0.025936315910468327,0.20011476880978118,0.0005079334415487991,0.0057410479409367695,48.593696499519304,0.002580869387527447,4.531477320879558,0.9657566795658955,0.4243063865825384,0.0
96,nsclc_mono,-45.93064885411191,-45.74959560484201,-43.835655563713885,38.85884687179884,132.0,,1.1954082167945415,0.03888363396785849,0.19723982506484783,0.00042131055371481623,0.001899740727445261,43.782976740816764,0.0016601556576121934,2.0019159501516146,0.7802130263881136,0.001633428111924838,0.0
97,nsclc_mono,-91.0763146845047,-91.0763146845047,-67.36529433970502,47.4344850030846,180.0,,0.6445562753893622,0.022717729771418404,0.05639734462458024,0.0005001338312328893,0.003193121059254612,31.222912311874786,0.0027423667244195135,2.078603724870388,0.2744050964918279,0.01977212579089647,0.0
98,nsclc_mono,-99.16879667854349,-99.16879667854349,-87.95870949063178,74.30894728927507,180.0,,3.4493463305760574,0.03488263812736947,0.15812333918962887,0.00019580889501000817,0.005528866785569959,26.807814631364593,0.0016261602103874301,1.5189853658992485,0.47471091037278607,0.13586574658811118,0.0
99,nsclc_mono,-96.0057068658731,-96.0057068658731,-76.46173280134727,34.52444284304666,180.0,,0.7148406610420301,0.023381880740160246,0.14919192419438007,0.00039066259284761335,0.00429765214262977,33.421040202011184,0.002648232983800766,2.79132839638156,0.38603698723830615,0.037221846928582825,0.0
100,nsclc_mono,-37.84130604748318,-37.84130604748318,-29.81663938591864,42.361440526134416,180.0,,1.2470838706202216,0.021946532398475663,0.20502122557790844,0.00044299689777078173,0.002356349902776586,30.781757999440714,0.0014499378861600675,6.672623344270559,0.514847689413199,0.12023799033739178,0.0
